iter	Passed	Remaining
0	0	92
1	1	80
2	2	75
3	2	70
4	3	69
5	4	70
6	5	70
7	6	69
8	6	67
9	7	67
10	8	65
11	8	64
12	9	63
13	10	62
14	10	61
15	11	61
16	12	60
17	12	59
18	13	58
19	14	57
20	15	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	18	51
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	44
35	24	44
36	25	43
37	26	42
38	26	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
