iter	Passed	Remaining
0	137	137365
1	140	70159
2	143	47689
3	146	36423
4	149	29747
5	153	25401
6	155	22085
7	159	19740
8	163	18040
9	166	16483
10	169	15237
11	173	14249
12	176	13369
13	178	12540
14	181	11935
15	185	11406
16	189	10933
17	192	10505
18	196	10126
19	200	9818
20	204	9515
21	206	9194
22	209	8892
23	212	8630
24	214	8373
25	216	8115
26	219	7910
27	221	7702
28	224	7519
29	227	7351
30	229	7182
31	231	7014
32	234	6863
33	235	6705
34	237	6555
35	240	6447
36	242	6313
37	244	6183
38	246	6063
39	248	5967
40	251	5876
41	253	5780
42	255	5697
43	258	5609
44	259	5513
45	261	5425
46	263	5339
47	265	5258
48	266	5175
49	267	5091
50	269	5012
51	271	4945
52	272	4873
53	274	4802
54	275	4734
55	276	4668
56	278	4600
57	279	4538
58	280	4475
59	281	4411
60	282	4355
61	283	4296
62	285	4243
63	286	4197
64	287	4141
65	289	4089
66	290	4040
67	291	3990
68	292	3943
69	293	3895
70	294	3849
71	295	3803
72	296	3760
73	297	3720
74	298	3679
75	299	3639
76	300	3606
77	302	3570
78	303	3534
79	304	3499
80	305	3466
81	306	3434
82	307	3397
83	308	3365
84	309	3335
85	310	3304
86	311	3273
87	313	3244
88	314	3216
89	315	3191
90	316	3162
91	317	3134
92	318	3106
93	319	3081
94	320	3056
95	321	3030
96	322	3003
97	323	2977
98	324	2953
99	325	2930
100	326	2906
101	327	2884
102	328	2863
103	330	2843
104	331	2821
105	331	2798
106	332	2778
107	333	2757
108	334	2737
109	335	2717
110	336	2697
111	337	2678
112	338	2657
113	339	2638
114	340	2619
115	341	2600
116	342	2582
117	343	2564
118	344	2547
119	345	2533
120	346	2517
121	347	2499
122	348	2483
123	349	2467
124	350	2451
125	351	2435
126	351	2419
127	352	2403
128	353	2387
129	354	2373
130	355	2359
131	356	2344
132	357	2330
133	358	2316
134	359	2304
135	360	2291
136	361	2278
137	362	2265
138	363	2251
139	364	2238
140	365	2226
141	366	2212
142	367	2200
143	367	2187
144	368	2175
145	369	2163
146	370	2152
147	371	2141
148	372	2130
149	374	2120
150	375	2111
151	376	2100
152	377	2090
153	378	2080
154	379	2069
155	380	2059
156	381	2047
157	382	2037
158	383	2027
159	384	2017
160	384	2005
161	385	1996
162	386	1986
163	387	1977
164	388	1968
165	389	1959
166	390	1949
167	391	1940
168	392	1930
169	393	1921
170	394	1913
171	396	1906
172	397	1898
173	398	1891
174	399	1883
175	400	1874
176	401	1866
177	402	1858
178	403	1851
179	404	1844
180	405	1836
181	406	1828
182	408	1822
183	409	1815
184	410	1809
185	411	1802
186	412	1795
187	414	1788
188	414	1780
189	416	1773
190	417	1766
191	418	1761
192	419	1754
193	420	1749
194	422	1742
195	423	1736
196	424	1730
197	425	1723
198	426	1716
199	427	1710
200	428	1703
201	429	1696
202	430	1690
203	431	1684
204	433	1679
205	434	1674
206	435	1668
207	436	1662
208	437	1657
209	439	1654
210	441	1649
211	442	1643
212	443	1638
213	444	1632
214	445	1628
215	447	1624
